Date,Selina,Sub Category,Capacity,Out of Order,Available Beds,Sold Beds,Room Revenue USD,Food and Beverage Revenue,Activities Revenue,Co-Working Revenue,Average Guest Review
2/21/2018,San Jose,Private Shared,14,1,13,10,360,114.0984,64.872,17.5536,8.728
2/21/2018,Antigua,Private,34,3,31,14,677.6,10.77384,119.230496,22.984192,8.804
2/21/2018,Montanita,Private,96,12,84,39,1037.4,317.797116,7.697508,17.594304,9.008
2/21/2018,Pedasi,Dorm,8,1,7,6,102,36.97704,23.2458,10.2714,8.685
2/21/2018,La Fortuna,Private,20,1,19,10,378,131.42304,44.0748,14.0238,8.787
2/21/2018,Montanita,Dorm,148,15,133,64,896,275.4304,2.84928,17.09568,8.993
2/22/2018,Santa Teresa North,Dorm,140,2,138,108,1728,525.69216,309.55392,104.40576,8.755
2/22/2018,Playa del Carmen,Dorm,177,23,154,77,1463,15.5078,229.51544,13.95702,8.996
2/22/2018,La Fortuna,Dorm,100,0,100,53,901,325.67546,109.8319,34.38216,8.792
2/22/2018,San Jose,Private,40,0,40,33,1316.7,420.106302,220.520916,75.367908,8.746
2/22/2018,Bocas del Toro,Private,44,1,43,34,1071,380.3121,253.16298,108.98496,8.709
2/22/2018,Bocas del Toro,Dorm,154,1,153,115,1725,623.5185,431.526,217.5915,8.711
2/22/2018,Tamarindo,Dorm,144,1,143,101,1818,580.05108,279.4266,105.9894,8.749
2/22/2018,Medellin,Private Shared,24,3,21,12,403.2,153.006336,73.938816,24.788736,8.761
2/22/2018,Antigua,Private,34,3,31,16,774.4,1.641728,120.667008,22.163328,8.793
2/22/2018,Puerto Viejo,Private,32,1,31,21,837.9,281.551158,97.69914,25.757046,8.775
2/22/2018,San Jose,Dorm,86,1,85,62,1054,335.172,172.05496,63.68268,8.737
2/22/2018,Medellin,Dorm,215,26,189,113,2260,826.482,416.8344,134.1536,8.787
2/22/2018,Puerto Viejo,Dorm,66,2,64,40,720,254.9088,89.2944,29.7648,8.781
2/22/2018,Puerto Viejo,Private Shared,40,1,39,24,820.8,276.675264,117.45648,26.971488,8.763
2/22/2018,Tamarindo,Private,24,1,23,16,571.2,193.75104,75.078528,28.457184,8.763
2/22/2018,Playa del Carmen,Private,59,9,50,21,831.6,7.933464,126.053928,12.340944,8.984
2/22/2018,Pedasi,Dorm,8,1,7,7,105,39.4002,26.8233,12.4656,8.688
2/22/2018,Manuel Antonio,Dorm,116,3,113,83,1411,442.71536,243.79258,79.26998,8.729
2/22/2018,Venao,Dorm,51,0,51,40,640,234.048,155.3536,80.0512,8.714
2/22/2018,La Fortuna,Private Shared,32,1,31,16,460.8,159.722496,56.659968,20.026368,8.783
2/22/2018,Manuel Antonio,Private,60,1,59,42,1587.6,474.565392,267.574104,107.702784,8.739
2/22/2018,Venao,Private Shared,34,1,33,26,748.8,281.77344,173.032704,80.960256,8.693
2/22/2018,Antigua,Dorm,92,11,81,40,880,2.7984,150.1808,20.5216,8.79
2/22/2018,Santa Teresa North,Private Shared,16,1,15,13,351,109.38564,54.69282,20.09124,8.758
2/22/2018,Bocas del Toro,Private Shared,32,1,31,24,648,243.15552,166.91184,74.18304,8.702
2/22/2018,Tamarindo,Private Shared,34,1,33,23,786.6,271.817496,112.56246,44.191188,8.746
2/22/2018,Playa del Carmen,Private Shared,54,6,48,21,758.1,13.660962,126.966588,16.07172,8.997
2/22/2018,Jaco,Dorm,118,3,115,73,1314,441.53028,165.74796,71.03484,8.765
2/22/2018,Jaco,Private,42,1,41,23,772.8,261.314592,107.311008,44.235072,8.777
2/22/2018,Venao,Private,12,0,12,10,336,124.29984,85.4784,36.32832,8.696
2/22/2018,Santa Teresa North,Private,22,1,21,18,642.6,206.390268,111.028428,38.144736,8.741
2/22/2018,Red Frog,Private,34,1,33,27,850.5,300.20949,186.61671,58.59945,8.732
2/22/2018,San Jose,Private Shared,14,1,13,10,324,102.68856,55.29384,25.41456,8.729
2/22/2018,Medellin,Private,88,9,79,48,1824,641.90208,353.81952,63.80352,8.767
2/22/2018,Jaco,Private Shared,26,0,26,16,489.6,166.591296,55.530432,28.024704,8.764
2/22/2018,La Fortuna,Private,20,1,19,10,357,130.93332,39.7341,15.51522,8.788
2/22/2018,Pedasi,Private Shared,8,1,7,7,214.2,75.154212,49.95144,23.386356,8.697
2/22/2018,Red Frog,Dorm,24,1,23,18,288,103.48992,64.41408,27.16992,8.737
2/22/2018,Montanita,Private Shared,38,5,33,14,313.6,98.395136,5.651072,10.969728,9
2/22/2018,Manuel Antonio,Private Shared,18,1,17,15,513,154.43352,89.7237,29.9079,8.749
2/22/2018,Red Frog,Private Shared,14,1,13,11,336.6,121.667436,72.072792,23.905332,8.73
2/22/2018,Montanita,Private,96,11,85,42,1117.2,352.901136,1.184232,27.237336,9.01
2/22/2018,Montanita,Dorm,148,19,129,57,855,271.89,0,14.5008,8.997
2/23/2018,Manuel Antonio,Dorm,116,2,114,82,1558,488.83808,257.63088,95.78584,8.725
2/23/2018,La Fortuna,Dorm,100,3,97,57,1026,361.06992,130.5072,50.02776,8.778
2/23/2018,Santa Teresa North,Dorm,140,3,137,104,1664,513.27744,264.576,125.23264,8.744
2/23/2018,Montanita,Private,96,13,83,36,1026,324.09288,21.7512,32.6268,8.996
2/23/2018,San Jose,Dorm,86,1,85,65,1235,369.1662,226.4743,81.1642,8.734
2/23/2018,Bocas del Toro,Dorm,154,3,151,115,1725,632.661,437.0115,208.449,8.695
2/23/2018,Venao,Dorm,51,1,50,40,640,238.7968,164.1728,67.1616,8.699
2/23/2018,Venao,Private Shared,34,1,33,24,691.2,263.76192,164.8512,82.059264,8.685
2/23/2018,Jaco,Dorm,118,1,117,61,976,325.8864,122.07808,31.0368,8.769
2/23/2018,Medellin,Dorm,215,24,191,106,2120,791.0144,350.5632,94.3824,8.763
2/23/2018,Tamarindo,Private,24,1,23,17,678.3,235.112346,89.87475,39.54489,8.754
2/23/2018,Playa del Carmen,Private,59,7,52,26,1201.2,11.459448,180.804624,11.459448,9.005
2/23/2018,Jaco,Private,42,1,41,24,806.4,284.643072,100.009728,31.627008,8.762
2/23/2018,Bocas del Toro,Private Shared,32,1,31,26,702,247.79196,178.5888,77.38848,8.712
2/23/2018,Tamarindo,Dorm,144,1,143,92,1564,512.27256,213.86136,97.81256,8.748
2/23/2018,Tamarindo,Private Shared,34,1,33,22,752.4,240.060744,120.429144,33.496848,8.758
2/23/2018,Red Frog,Private,34,1,33,27,907.2,330.801408,200.981088,77.892192,8.733
2/23/2018,Montanita,Dorm,148,20,128,56,728,227.6456,3.8584,2.31504,9.006
2/23/2018,Antigua,Dorm,92,8,84,42,924,4.8972,144.95712,25.46544,8.785
2/23/2018,Manuel Antonio,Private,60,1,59,44,1755.6,526.644888,310.776312,115.378032,8.733
2/23/2018,Playa del Carmen,Dorm,177,22,155,67,1340,17.0448,215.9008,5.6816,8.987
2/23/2018,Antigua,Private,34,4,30,16,739.2,14.887488,112.047936,14.103936,8.781
2/23/2018,Medellin,Private,88,8,80,45,1795.5,647.0982,296.90388,93.25827,8.782
2/23/2018,Santa Teresa North,Private,22,1,21,18,567,186.91722,103.37544,40.26834,8.736
2/23/2018,Puerto Viejo,Private Shared,40,1,39,25,810,267.8832,101.3148,37.7784,8.783
2/23/2018,Puerto Viejo,Private,32,1,31,21,749.7,247.940784,88.209702,30.197916,8.781
2/23/2018,Jaco,Private Shared,26,1,25,16,460.8,160.210944,52.752384,18.072576,8.788
2/23/2018,San Jose,Private,40,1,39,30,1197,355.2696,228.3876,59.63454,8.753
2/23/2018,Medellin,Private Shared,24,3,21,13,395.2,147.875936,66.188096,16.75648,8.765
2/23/2018,La Fortuna,Private Shared,32,1,31,18,615.6,227.735064,70.473888,18.923544,8.782
2/23/2018,Puerto Viejo,Dorm,66,1,65,37,666,236.4966,88.245,37.41588,8.773
2/23/2018,Bocas del Toro,Private,44,1,43,36,1285.2,489.070008,298.346328,160.752816,8.695
2/23/2018,San Jose,Private Shared,14,1,13,11,336.6,102.400452,63.509688,25.332516,8.743
2/23/2018,Playa del Carmen,Private Shared,54,6,48,20,760,9.6672,108.756,20.9456,8.992
2/23/2018,Montanita,Private Shared,38,6,32,14,336,106.13568,2.13696,5.3424,8.992
2/23/2018,Santa Teresa North,Private Shared,16,1,15,12,345.6,110.999808,55.316736,20.881152,8.737
2/23/2018,Manuel Antonio,Private Shared,18,1,17,14,453.6,141.359904,79.815456,28.84896,8.751
2/23/2018,Red Frog,Dorm,24,1,23,19,285,108.4539,61.9305,26.5848,8.754
2/23/2018,La Fortuna,Private,20,1,19,10,378,133.82712,38.86596,10.017,8.786
2/23/2018,Pedasi,Private Shared,8,1,7,6,162,60.78888,38.98044,15.96996,8.687
2/23/2018,Pedasi,Dorm,8,1,7,6,102,38.59884,25.30008,13.19064,8.693
2/23/2018,Venao,Private,12,1,11,9,283.5,101.27187,64.60965,33.0561,8.714
2/23/2018,Pedasi,Private,16,1,15,12,378,140.63868,97.76592,38.46528,8.705
2/23/2018,Red Frog,Private Shared,14,1,13,11,297,107.0388,58.2417,27.07452,8.731
2/24/2018,La Fortuna,Dorm,100,1,99,59,1003,343.40714,103.12846,32.95858,8.784
2/24/2018,San Jose,Private,40,1,39,32,1209.6,383.370624,205.14816,76.93056,8.728
2/24/2018,San Jose,Dorm,86,1,85,69,1173,353.11992,201.42756,88.27998,8.745
2/24/2018,Santa Teresa North,Dorm,140,2,138,102,1938,618.33828,322.52196,152.01672,8.749
2/24/2018,Manuel Antonio,Private,60,1,59,46,1642.2,522.2196,276.776388,130.5549,8.747
2/24/2018,Manuel Antonio,Dorm,116,3,113,86,1548,488.98224,305.20368,111.57984,8.738
2/24/2018,Tamarindo,Dorm,144,1,143,100,1800,601.02,284.292,91.584,8.769
2/24/2018,Venao,Dorm,51,1,50,38,646,234.18792,162.97288,73.26932,8.689
2/24/2018,Jaco,Dorm,118,1,117,65,1040,373.7136,121.264,42.9936,8.761
2/24/2018,Puerto Viejo,Private Shared,40,1,39,24,777.6,276.12576,108.801792,41.2128,8.755
2/24/2018,Venao,Private,12,1,11,10,315,116.1972,73.7919,32.0544,8.691
2/24/2018,Playa del Carmen,Dorm,177,21,156,64,1152,2.44224,189.2736,18.3168,8.981
2/24/2018,Medellin,Dorm,215,20,195,107,2140,791.6716,403.7752,83.9308,8.773
2/24/2018,Bocas del Toro,Private,44,1,43,32,940.8,355.020288,221.389056,97.730304,8.712
2/24/2018,Santa Teresa North,Private Shared,16,1,15,12,410.4,133.987392,71.77896,26.10144,8.738
2/24/2018,Santa Teresa North,Private,22,1,21,18,756,234.79848,122.60808,39.26664,8.754
2/24/2018,Antigua,Private,34,4,30,16,704,4.47744,111.18976,17.90976,8.807
2/24/2018,Bocas del Toro,Dorm,154,1,153,110,1760,654.8256,449.6096,177.232,8.7
2/24/2018,Tamarindo,Private Shared,34,1,33,24,734.4,241.32384,117.548064,49.821696,8.75
2/24/2018,Red Frog,Private,34,1,33,25,840,305.4072,175.4088,67.6704,8.74
2/24/2018,Medellin,Private,88,8,80,44,1588.4,565.724544,274.443752,77.450384,8.764
2/24/2018,Playa del Carmen,Private Shared,54,6,48,22,752.4,11.165616,110.061072,3.190176,8.988
2/24/2018,Jaco,Private Shared,26,1,25,14,403.2,143.17632,49.577472,22.224384,8.777
2/24/2018,Antigua,Dorm,92,10,82,44,968,5.1304,158.01632,34.88672,8.79
2/24/2018,Jaco,Private,42,1,41,26,928.2,337.474956,117.083148,48.210708,8.789
2/24/2018,Puerto Viejo,Private,32,1,31,21,793.8,279.354096,103.495644,29.44998,8.766
2/24/2018,La Fortuna,Private,20,1,19,10,378,136.63188,44.0748,10.41768,8.769
2/24/2018,Red Frog,Dorm,24,1,23,19,304,111.81728,66.0592,28.03488,8.739
2/24/2018,La Fortuna,Private Shared,32,1,31,19,615.6,228.3876,76.346712,30.669192,8.769
2/24/2018,Medellin,Private Shared,24,3,21,11,334.4,123.707936,59.195488,12.760704,8.788
2/24/2018,Puerto Viejo,Dorm,66,2,64,37,666,221.67144,84.7152,37.41588,8.756
2/24/2018,Montanita,Private,96,12,84,35,864.5,258.41634,4.58185,30.24021,9.003
2/24/2018,Manuel Antonio,Private Shared,18,1,17,13,421.2,128.583936,72.774936,24.109488,8.736
2/24/2018,Montanita,Dorm,148,20,128,55,770,241.5952,0.8162,26.9346,9.004
2/24/2018,Pedasi,Private,16,1,15,12,428.4,157.574088,109.439064,48.589128,8.688
2/24/2018,Red Frog,Private Shared,14,1,13,11,297,112.70556,66.1122,25.1856,8.743
2/24/2018,Playa del Carmen,Private,59,7,52,26,1144,14.55168,180.68336,33.95392,8.982
2/24/2018,Venao,Private Shared,34,1,33,26,702,247.79196,168.91524,71.43552,8.713
2/24/2018,San Jose,Private Shared,14,1,13,11,297,92.55708,58.87134,17.94474,8.729
2/24/2018,Bocas del Toro,Private Shared,32,1,31,24,691.2,248.375808,158.257152,84.25728,8.695
2/24/2018,Tamarindo,Private,24,1,23,17,642.6,217.96992,96.724152,35.420112,8.767
2/24/2018,Montanita,Private Shared,38,5,33,14,291.2,88.280192,0.926016,7.099456,9.008
2/24/2018,Pedasi,Private Shared,8,1,7,6,183.6,65.19636,43.983216,22.575456,8.689
2/25/2018,Manuel Antonio,Dorm,116,1,115,85,1360,407.9728,249.3968,87.9376,8.739
2/25/2018,Montanita,Private,96,11,85,34,775.2,235.009632,1.643424,8.21712,9.003
2/25/2018,Santa Teresa North,Dorm,140,1,139,108,2052,661.23648,328.44312,163.134,8.741
2/25/2018,San Jose,Private,40,1,39,32,1142.4,358.439424,193.75104,75.078528,8.746
2/25/2018,Playa del Carmen,Private,59,7,52,24,1056,2.23872,147.75552,13.43232,9.003
2/25/2018,Bocas del Toro,Dorm,154,2,152,110,1650,592.911,376.035,213.378,8.709
2/25/2018,Playa del Carmen,Dorm,177,19,158,73,1314,25.07112,196.39044,13.9284,9.002
2/25/2018,Red Frog,Private Shared,14,1,13,10,306,112.87728,62.60148,21.73212,8.731
2/25/2018,San Jose,Dorm,86,1,85,65,1105,352.5613,195.6071,66.7641,8.731
2/25/2018,La Fortuna,Private,20,1,19,12,453.6,167.323968,50.004864,22.598352,8.767
2/25/2018,Bocas del Toro,Private,44,1,43,32,1008,381.44736,243.61344,120.73824,8.713
2/25/2018,Puerto Viejo,Dorm,66,1,65,42,672,225.09312,101.14944,35.616,8.777
2/25/2018,Antigua,Private,34,4,30,17,822.8,5.233008,126.46436,22.676368,8.804
2/25/2018,Jaco,Private,42,1,41,23,821.1,282.86895,98.351358,25.240614,8.778
2/25/2018,Tamarindo,Private,24,1,23,17,571.2,187.090848,81.133248,29.668128,8.756
2/25/2018,Red Frog,Private,34,1,33,24,806.4,294.045696,172.666368,71.801856,8.734
2/25/2018,La Fortuna,Private Shared,32,1,31,16,547.2,196.050816,70.183872,20.30112,8.785
2/25/2018,Venao,Dorm,51,1,50,41,615,231.4245,146.0256,65.19,8.71
2/25/2018,Puerto Viejo,Private,32,1,31,22,831.6,269.737776,120.764952,43.193304,8.763
2/25/2018,Antigua,Dorm,92,10,82,43,946,5.0138,154.42504,32.08832,8.789
2/25/2018,Tamarindo,Dorm,144,1,143,95,1520,499.472,249.736,69.2816,8.76
2/25/2018,Jaco,Dorm,118,2,116,73,1168,407.32832,158.47424,35.90432,8.778
2/25/2018,Montanita,Dorm,148,19,129,63,819,253.49688,9.54954,12.15396,8.995
2/25/2018,Red Frog,Dorm,24,1,23,18,288,108.67968,59.5296,24.4224,8.742
2/25/2018,Medellin,Private Shared,24,3,21,13,395.2,139.916608,74.566336,16.75648,8.766
2/25/2018,La Fortuna,Dorm,100,2,98,56,952,353.192,121.0944,42.38304,8.779
2/25/2018,Medellin,Private,88,11,77,47,1786,677.75128,308.58508,64.36744,8.768
2/25/2018,Bocas del Toro,Private Shared,32,1,31,25,765,284.6259,176.7762,98.9298,8.7
2/25/2018,Santa Teresa North,Private Shared,16,1,15,13,421.2,137.513376,74.114352,30.360096,8.725
2/25/2018,Medellin,Dorm,215,21,194,110,2310,871.7016,440.748,115.0842,8.776
2/25/2018,Manuel Antonio,Private,60,1,59,43,1535.1,489.789006,258.725754,104.141184,8.731
2/25/2018,Tamarindo,Private Shared,34,1,33,26,889.2,298.788984,147.980664,42.41484,8.766
2/25/2018,Jaco,Private Shared,26,1,25,15,459,161.04474,52.54632,17.0289,8.779
2/25/2018,Venao,Private,12,1,11,10,315,116.1972,78.4665,38.7324,8.707
2/25/2018,Puerto Viejo,Private Shared,40,1,39,25,720,236.592,90.0576,28.2384,8.779
2/25/2018,Venao,Private Shared,34,1,33,25,765,277.3278,175.1544,95.6862,8.686
2/25/2018,Montanita,Private Shared,38,6,32,15,360,110.2824,1.908,4.1976,8.987
2/25/2018,San Jose,Private Shared,14,1,13,10,288,85.4784,54.33984,20.45376,8.747
2/25/2018,Manuel Antonio,Private Shared,18,1,17,14,428.4,132.144264,76.289472,29.062656,8.739
2/25/2018,Santa Teresa North,Private,22,1,21,16,604.8,186.556608,107.702784,42.952896,8.74
2/25/2018,Pedasi,Private,16,1,15,12,403.2,151.72416,92.744064,49.15008,8.691
2/25/2018,Playa del Carmen,Private Shared,54,6,48,21,718.2,7.61292,112.671216,18.271008,8.98
2/25/2018,Pedasi,Private Shared,8,1,7,7,201.6,74.7936,46.372032,20.514816,8.702
2/26/2018,San Jose,Private,40,1,39,29,1096.2,321.866244,212.640876,79.014096,8.736
2/26/2018,Red Frog,Private Shared,14,1,13,10,306,109.95804,62.92584,24.97572,8.723
2/26/2018,Puerto Viejo,Dorm,66,1,65,44,748,254.51448,111.79608,37.26536,8.765
2/26/2018,Santa Teresa North,Dorm,140,1,139,110,1980,589.7628,363.0924,111.2364,8.75
2/26/2018,San Jose,Dorm,86,1,85,63,1134,364.21812,218.77128,73.32444,8.726
2/26/2018,Tamarindo,Dorm,144,1,143,98,1666,558.04336,275.48976,72.40436,8.742
2/26/2018,Tamarindo,Private Shared,34,1,33,23,703.8,225.300456,116.380368,44.76168,8.759
2/26/2018,Montanita,Dorm,148,19,129,52,780,249.6936,0.8268,12.402,8.999
2/26/2018,Jaco,Dorm,118,1,117,70,1330,446.9066,159.3074,63.441,8.762
2/26/2018,Bocas del Toro,Dorm,154,3,151,110,1650,629.64,423.258,169.653,8.694
2/26/2018,Playa del Carmen,Private,59,9,50,22,968,10.2608,147.75552,32.83456,9.004
2/26/2018,Playa del Carmen,Dorm,177,19,158,74,1480,9.4128,213.3568,48.6328,8.998
2/26/2018,Medellin,Dorm,215,23,192,119,2261,838.831,440.98544,148.59292,8.757
2/26/2018,Santa Teresa North,Private,22,1,21,18,680.4,207.712512,116.838288,39.66732,8.75
2/26/2018,Jaco,Private,42,1,41,26,1037.4,341.989284,144.053364,60.48042,8.783
2/26/2018,Red Frog,Private,34,1,33,24,705.6,267.013152,144.351648,53.103456,8.737
2/26/2018,Bocas del Toro,Private,44,1,43,36,1209.6,444.915072,307.72224,142.321536,8.707
2/26/2018,Red Frog,Dorm,24,1,23,18,270,102.7458,55.5228,21.1788,8.736
2/26/2018,Puerto Viejo,Private,32,1,31,20,714,244.45932,90.8208,31.03044,8.758
2/26/2018,Montanita,Private,96,13,83,34,904.4,281.847216,17.255952,31.635912,8.997
2/26/2018,Medellin,Private,88,10,78,50,1805,631.389,331.0009,76.532,8.767
2/26/2018,Jaco,Private Shared,26,1,25,15,513,174.55338,68.51628,27.189,8.779
2/26/2018,Antigua,Private,34,4,30,14,677.6,14.36512,119.948752,30.166752,8.809
2/26/2018,Manuel Antonio,Dorm,116,2,114,85,1360,397.8816,269.5792,74.9632,8.743
2/26/2018,Antigua,Dorm,92,10,82,37,740,12.5504,115.3068,33.7292,8.802
2/26/2018,Montanita,Private Shared,38,5,33,14,336,101.14944,2.84928,2.84928,9.004
2/26/2018,Manuel Antonio,Private,60,1,59,46,1642.2,501.330816,283.739316,121.85124,8.741
2/26/2018,Tamarindo,Private,24,1,23,18,680.4,214.924752,109.626048,38.946096,8.763
2/26/2018,San Jose,Private Shared,14,1,13,11,336.6,101.330064,58.87134,24.262128,8.737
2/26/2018,Venao,Private Shared,34,1,33,24,691.2,263.76192,158.257152,79.861248,8.685
2/26/2018,Bocas del Toro,Private Shared,32,1,31,25,720,264.0672,168.6672,83.952,8.712
2/26/2018,Venao,Dorm,51,1,50,41,615,216.4308,149.2851,73.0128,8.713
2/26/2018,La Fortuna,Dorm,100,3,97,55,990,340.0056,110.187,35.6796,8.783
2/26/2018,La Fortuna,Private Shared,32,1,31,16,460.8,163.63008,54.217728,23.933952,8.786
2/26/2018,Puerto Viejo,Private Shared,40,1,39,26,748.8,248.436864,93.659904,28.574208,8.775
2/26/2018,Manuel Antonio,Private Shared,18,1,17,14,453.6,137.03256,78.373008,33.65712,8.722
2/26/2018,Santa Teresa North,Private Shared,16,1,15,13,397.8,122.705388,70.418556,25.721748,8.743
2/26/2018,Playa del Carmen,Private Shared,54,7,47,19,685.9,7.27054,114.874532,20.357512,8.98
2/26/2018,Venao,Private,12,1,11,10,336,118.60128,79.06752,33.8352,8.709
2/26/2018,La Fortuna,Private,20,1,19,12,478.8,165.454128,61.918416,21.823704,8.789
2/26/2018,Medellin,Private Shared,24,3,21,13,374.4,131.758848,63.895104,19.446336,8.784
2/27/2018,Tamarindo,Dorm,144,1,143,106,1696,566.2944,276.85504,106.06784,8.745
2/27/2018,Jaco,Dorm,118,2,116,71,1349,480.45984,181.60238,71.497,8.784
2/27/2018,Puerto Viejo,Private,32,1,31,20,714,242.1888,107.47128,23.46204,8.775
2/27/2018,Antigua,Dorm,92,11,81,39,858,9.0948,125.50824,28.19388,8.784
2/27/2018,Bocas del Toro,Private,44,1,43,32,1142.4,399.61152,262.774848,122.305344,8.687
2/27/2018,Santa Teresa North,Dorm,140,1,139,100,1700,522.58,284.716,88.298,8.748
2/27/2018,San Jose,Private,40,1,39,29,1035.3,301.78995,183.268806,54.8709,8.737
2/27/2018,Playa del Carmen,Dorm,177,19,158,68,1292,13.6952,206.79752,8.21712,8.993
2/27/2018,Bocas del Toro,Dorm,154,3,151,108,1836,646.12512,418.4244,225.75456,8.697
2/27/2018,Medellin,Private,88,11,77,47,1696.7,595.304162,325.528862,116.90263,8.76
2/27/2018,Manuel Antonio,Dorm,116,2,114,93,1674,505.7154,312.30144,94.04532,8.725
2/27/2018,Antigua,Private,34,4,30,14,646.8,2.056824,97.356336,30.85236,8.797
2/27/2018,Montanita,Dorm,148,16,132,64,960,308.3328,1.0176,23.4048,9.002
2/27/2018,San Jose,Dorm,86,2,84,61,1037,302.2855,195.66116,65.9532,8.741
2/27/2018,Medellin,Dorm,215,23,192,117,2340,830.934,431.5896,143.8632,8.78
2/27/2018,Red Frog,Private,34,1,33,25,840,316.9824,178.9704,68.5608,8.728
2/27/2018,San Jose,Private Shared,14,1,13,11,356.4,105.023952,59.689872,26.067096,8.74
2/27/2018,Manuel Antonio,Private,60,0,60,44,1386,412.83396,260.04132,73.458,8.729
2/27/2018,Puerto Viejo,Dorm,66,2,64,40,680,222.7272,91.5416,24.5072,8.776
2/27/2018,Bocas del Toro,Private Shared,32,1,31,25,720,269.4096,173.2464,78.6096,8.697
2/27/2018,Jaco,Private Shared,26,1,25,17,581.4,207.071424,83.19834,23.418792,8.774
2/27/2018,Jaco,Private,42,1,41,25,892.5,302.736,123.93255,26.4894,8.757
2/27/2018,Santa Teresa North,Private Shared,16,1,15,12,367.2,108.98496,70.06176,22.186224,8.753
2/27/2018,Red Frog,Dorm,24,1,23,18,270,96.1632,55.2366,21.7512,8.723
2/27/2018,La Fortuna,Private Shared,32,1,31,19,649.8,229.366404,73.700316,15.842124,8.794
2/27/2018,La Fortuna,Dorm,100,1,99,58,928,323.63072,100.33536,49.184,8.779
2/27/2018,Montanita,Private,96,13,83,34,904.4,277.053896,4.79332,4.79332,8.999
2/27/2018,Red Frog,Private Shared,14,1,13,10,288,105.93216,57.39264,25.03296,8.747
2/27/2018,Playa del Carmen,Private Shared,54,6,48,24,820.8,10.440576,119.196576,15.660864,8.999
2/27/2018,Montanita,Private Shared,38,5,33,17,380.8,118.268864,4.843776,7.265664,8.994
2/27/2018,Playa del Carmen,Private,59,8,51,24,950.4,2.014848,148.091328,33.244992,8.998
2/27/2018,Medellin,Private Shared,24,3,21,12,326.4,123.862272,58.471296,13.83936,8.77
2/27/2018,La Fortuna,Private,20,1,19,12,478.8,177.127272,59.888304,22.83876,8.784
2/27/2018,Puerto Viejo,Private Shared,40,1,39,24,777.6,272.00448,118.692864,28.024704,8.754
2/27/2018,Santa Teresa North,Private,22,1,21,17,642.6,199.578708,106.260336,38.825892,8.753
2/27/2018,Pedasi,Dorm,8,1,7,7,105,38.2872,25.4877,12.5769,8.713
2/27/2018,Tamarindo,Private,24,1,23,17,642.6,213.882984,100.811088,38.825892,8.749
2/27/2018,Venao,Dorm,51,1,50,36,540,196.9056,128.2176,62.964,8.703
2/27/2018,Venao,Private,12,1,11,9,283.5,99.76932,72.72342,35.46018,8.701
2/27/2018,Venao,Private Shared,34,1,33,26,702,251.51256,176.35644,88.55028,8.688
2/27/2018,Tamarindo,Private Shared,34,1,33,23,703.8,239.474988,103.697892,32.825232,8.74
2/27/2018,Manuel Antonio,Private Shared,18,1,17,14,403.2,118.814976,67.955328,21.796992,8.742
2/28/2018,Tamarindo,Dorm,144,3,141,108,1944,638.7984,327.64176,80.36496,8.765
2/28/2018,Medellin,Dorm,215,20,195,114,1938,710.78088,326.63052,78.06264,8.756
2/28/2018,Manuel Antonio,Dorm,116,2,114,90,1620,499.7052,321.1164,87.5772,8.738
2/28/2018,Tamarindo,Private,24,1,23,18,680.4,222.858216,104.57748,39.66732,8.769
2/28/2018,Playa del Carmen,Dorm,177,19,158,79,1422,10.55124,206.50284,51.24888,9.002
2/28/2018,Venao,Dorm,51,1,50,41,656,239.8992,151.58848,72.31744,8.703
2/28/2018,Bocas del Toro,Private,44,1,43,36,1134,425.52216,288.4896,131.02236,8.696
2/28/2018,Santa Teresa North,Dorm,140,1,139,100,1700,527.986,313.548,127.942,8.745
2/28/2018,San Jose,Dorm,86,1,85,64,1088,344.83072,186.83136,66.89024,8.739
2/28/2018,Puerto Viejo,Dorm,66,1,65,41,697,246.02706,92.3525,31.03044,8.773
2/28/2018,Red Frog,Private,34,0,34,27,907.2,325.031616,200.981088,83.661984,8.726
2/28/2018,San Jose,Private,40,1,39,33,1247.4,400.639932,216.848016,68.756688,8.737
2/28/2018,Playa del Carmen,Private Shared,54,6,48,20,798,12.6882,109.9644,9.30468,9.004
2/28/2018,La Fortuna,Dorm,100,1,99,50,850,307.241,102.714,37.842,8.768
2/28/2018,Santa Teresa North,Private Shared,16,1,15,12,432,139.6656,71.89344,32.51232,8.728
2/28/2018,La Fortuna,Private,20,1,19,10,357,130.5549,40.11252,15.51522,8.781
2/28/2018,Antigua,Private,34,3,31,14,677.6,8.619072,104.14712,15.083376,8.801
2/28/2018,Bocas del Toro,Dorm,154,4,150,110,1870,679.8946,481.6746,227.953,8.708
2/28/2018,Venao,Private Shared,34,1,33,25,630,220.374,160.272,76.1292,8.694
2/28/2018,Playa del Carmen,Private,59,7,52,23,910.8,4.82724,140.955408,28.96344,8.997
2/28/2018,Jaco,Dorm,118,1,117,70,1330,453.9556,160.7172,42.294,8.77
2/28/2018,Manuel Antonio,Private Shared,18,1,17,13,444.6,140.440248,77.76054,25.92018,8.736
2/28/2018,Antigua,Dorm,92,9,83,45,990,12.5928,152.163,33.5808,8.784
2/28/2018,Jaco,Private,42,1,41,28,1117.2,378.95424,152.765928,59.2116,8.761
2/28/2018,Puerto Viejo,Private Shared,40,1,39,25,765,259.488,112.7151,38.9232,8.762
2/28/2018,La Fortuna,Private Shared,32,1,31,19,649.8,239.009436,81.965772,32.373036,8.787
